Designator,Mid X,Mid Y,Rotation,Layer
BZ2,152.573001,-87.049001,0.0,top
C10,209.75,-144.95,90.0,top
C11,212.658,-89.722,0.0,top
C12,209.856,-96.58,0.0,top
C13,230.783,-92.135,180.0,top
C14,209.983,-102.93,0.0,top
C15,198.553,-82.483,90.0,top
C16,215.063,-108.899,90.0,top
C17,209.959998,-101.49,0.0,top
C18,209.729,-94.929,0.0,top
C19,207.12,-96.56,90.0,top
C2,165.533,-145.221,90.0,top
C20,207.12,-99.835,270.0,top
C21,226.366,-109.044,90.0,top
C22,231.083,-93.278,0.0,top
C23,206.826,-104.454,0.0,top
C24,226.366,-112.346,270.0,top
C25,206.826,-103.057,180.0,top
C26,166.803,-80.591,270.0,top
C27,168.835,-80.591,270.0,top
C28,184.702,-111.693,180.0,top
C29,171.2505,-111.185,0.0,top
C3,120.448,-117.421,90.0,top
C30,164.2245,-111.439,180.0,top
C31,133.495,-88.26,270.0,top
C32,133.483,-102.111925,270.0,top
C33,136.095,-80.335,270.0,top
C34,136.023,-94.280925,270.0,top
C35,138.245,-88.9975,270.0,top
C36,138.309,-103.188925,270.0,top
C37,143.015,-86.1,180.0,top
C38,165.012,-88.452,180.0,top
C39,142.94,-81.594,180.0,top
C4,116.32,-108.518,0.0,top
C40,165.012,-83.88,180.0,top
C41,267.836,-117.82925,180.0,top
C42,276.692,-117.789,180.0,top
C43,285.421,-117.847,180.0,top
C44,294.311,-117.789,180.0,top
C45,303.235,-117.662,180.0,top
C46,303.2645,-129.473,180.0,top
C47,241.1705,-117.789,180.0,top
C48,250.115,-117.847,180.0,top
C49,259.0345,-117.72,180.0,top
C5,119.686,-96.453,0.0,top
C50,160.825,-84.513,0.0,top
C51,160.58,-87.023,0.0,top
C52,149.12,-80.673,0.0,top
C53,289.993,-105.442,270.0,top
C54,293.943,-104.454,0.0,top
C55,290.501,-85.676,270.0,top
C56,132.513,-114.106,270.0,top
C57,283.077873,-87.807873,180.0,top
C58,281.865,-90.865,0.0,top
C59,283.049873,-86.141623,180.0,top
C6,112.74,-97.7268,180.0,top
C60,283.049873,-84.444873,180.0,top
C7,116.397,-96.453,180.0,top
C8,112.867,-100.9056,180.0,top
C9,120.13,-90.23,180.0,top
D10,135.9405,-103.060425,270.0,top
D11,145.848,-93.6845,90.0,top
D12,142.419,-97.6975,270.0,top
D13,146.229,-80.197,90.0,top
D14,263.23,-112.36825,0.0,top
D15,263.518,-115.67025,180.0,top
D16,272.086,-112.328,0.0,top
D17,272.374,-115.63,180.0,top
D18,280.815,-112.386,0.0,top
D19,281.103,-115.688,180.0,top
D2,113.209,-148.367,270.0,top
D20,289.739,-112.328,0.0,top
D21,289.993,-115.63,180.0,top
D22,298.629,-112.201,0.0,top
D23,298.917,-115.503,180.0,top
D24,298.6585,-124.012,0.0,top
D25,298.9465,-127.314,180.0,top
D26,236.5645,-112.328,0.0,top
D27,236.8525,-115.63,180.0,top
D28,245.509,-112.386,0.0,top
D29,245.797,-115.688,180.0,top
D3,300.1785,-183.310667,180.0,top
D30,254.4285,-112.259,0.0,top
D31,254.7165,-115.561,180.0,top
D32,149.1,-78.923,0.0,top
D33,295.229309,-87.947692,270.0,top
D34,294.819,-91.246,0.0,top
D4,300.1785,-179.477334,180.0,top
D5,300.1785,-175.644,180.0,top
D6,300.1785,-171.810667,180.0,top
D7,128.068,-83.363,90.0,top
D8,128.195,-97.587,90.0,top
D9,136.095,-89.030002,270.0,top
F2,242.114,-79.6105,270.0,top
F3,128.5275,-78.165,0.0,top
F4,128.7515,-92.643,0.0,top
F5,143.1725,-88.01,0.0,top
F6,143.0935,-102.142,0.0,top
F7,164.7225,-80.7535,90.0,top
F8,143.3125,-79.69,0.0,top
F9,289.866,-91.373,0.0,top
FB2,203.125,-103.057,0.0,top
FB3,168.5555,-111.439,0.0,top
FB4,160.365,-80.353,0.0,top
J16,163.895,-94.285,0.0,top
J18,292.219,-80.451,0.0,top
J2,233.732,-82.356,180.0,top
J4,241.479,-98.739,270.0,top
J5,249.458,-81.216,180.0,top
L2,137.695,-84.4975,0.0,top
L3,137.777,-98.362925,0.0,top
Q2,111.436765,-116.410138,0.0,top
Q3,152.615,-79.7905,90.0,top
R10,164.263,-119.313,0.0,top
R11,165.58,-155.127,90.0,top
R12,198.553,-79.308,270.0,top
R13,195.886,-86.42,180.0,top
R14,219.635,-118.043,90.0,top
R15,232.081,-77.911,0.0,top
R16,213.158,-85.658,180.0,top
R17,214.047,-114.36,270.0,top
R18,222.937,-114.36,270.0,top
R19,222.937,-118.043,270.0,top
R2,200.458,-118.043,270.0,top
R20,214.047,-117.985,270.0,top
R21,217.984,-114.36,270.0,top
R22,215.952,-114.36,270.0,top
R23,215.952,-118.043,270.0,top
R24,217.984,-118.043,270.0,top
R25,168.835,-83.557,270.0,top
R26,190.933,-95.945,90.0,top
R27,191.949,-85.023,0.0,top
R28,190.679,-93.405,90.0,top
R29,165.922,-98.231,180.0,top
R3,211.4,-144.75,270.0,top
R30,161.215,-90.357,0.0,top
R31,187.504,-111.693,0.0,top
R32,134.195,-80.31,270.0,top
R33,132.445,-80.31,270.0,top
R34,134.245,-94.113925,270.0,top
R35,132.467,-94.113925,270.0,top
R36,145.848,-96.834,90.0,top
R37,142.419,-93.971,270.0,top
R38,146.229,-84.515,90.0,top
R39,267.582,-112.36825,180.0,top
R4,118.253765,-114.735138,0.0,top
R40,266.82,-115.22025,90.0,top
R41,268.598,-115.28925,270.0,top
R42,276.438,-112.328,180.0,top
R43,275.676,-115.18,90.0,top
R44,277.454,-115.249,270.0,top
R45,285.167,-112.386,180.0,top
R46,284.405,-115.238,90.0,top
R47,286.183,-115.307,270.0,top
R48,294.057,-112.328,180.0,top
R49,293.295,-115.18,90.0,top
R5,114.443765,-117.339138,270.0,top
R50,295.073,-115.249,270.0,top
R51,302.981,-112.201,180.0,top
R52,302.219,-115.053,90.0,top
R53,303.997,-115.122,270.0,top
R54,303.0105,-124.012,180.0,top
R55,302.2485,-126.864,90.0,top
R56,304.0265,-126.933,270.0,top
R57,240.9165,-112.328,180.0,top
R58,240.1545,-115.18,90.0,top
R59,241.9325,-115.124,270.0,top
R6,115.332765,-114.735138,0.0,top
R60,249.861,-112.386,180.0,top
R61,249.099,-115.238,90.0,top
R62,250.877,-115.307,270.0,top
R63,258.7805,-112.259,180.0,top
R64,258.0185,-115.111,90.0,top
R65,259.7965,-115.18,270.0,top
R66,155.5,-80.713,90.0,top
R67,157.09,-80.693,270.0,top
R68,292.914,-99.882,0.0,top
R69,287.578,-103.565,0.0,top
R7,112.912,-99.3162,0.0,top
R70,295.706,-103.057,180.0,top
R71,288.723,-85.589,270.0,top
R72,296.724,-85.015,90.0,top
R73,292.429809,-88.648692,270.0,top
R74,290.374,-88.452,90.0,top
R75,288.596,-88.452,270.0,top
R76,259.061873,-81.330873,270.0,top
R8,112.981,-96.1374,0.0,top
R9,113.481,-102.295,180.0,top
RN2,304.101,-177.663,270.0,top
SW2,192.33,-81.043,90.0,top
SW3,201.474,-80.959,90.0,top
U10,133.463,-98.080425,90.0,top
U11,143.065,-83.87,270.0,top
U12,165.0265,-86.1645,270.0,top
U13,290.524,-102.817,180.0,top
U14,140.387,-113.217,0.0,top
U15,277.849873,-85.404873,90.0,top
U2,206.979937,-150.424,90.0,top
U3,117.364765,-117.407638,90.0,top
U4,118.696,-100.136,90.0,top
U5,161.11,-150.42,90.0,top
U6,220.27,-98.485,270.0,top
U7,179.897,-86.679,0.0,top
U9,133.445,-84.2475,90.0,top
X2,203.87,-98.185,90.0,top
